title,content,related_keyword
구속성예금,금융기관이 차주에 대한 여신과 연계하여 대출금액의 일부를 차주의 의사에 반하여 예적금 등으로 수취하거나 정당한 사유 없이 차주의 예 적금 인출 및 해약을 제한하는 행위를 말한다. 구속성예금의 종류로는 ① 여신실행일 전후 10영업일 이내에 입금된 예 적금 및 금전신탁 차주에게 매출된 유가증권(양건예금) ② 예금증서 미교부 등의 방법에 의해 사실상 해약 또는 인출이 제한된 예 적금 및 금전신탁 유가증권(견질담보형 태의 예금) 등이 있다. 금융감독원은 금융기관의 구속성예금 수취행위를 대표적인 불공 정 금융 관행으로 간주하여 이의 수취를 엄격히 규제하고 있다.,
구인배율,"노동의 수요와 공급을 나타내는 지표로 일자리수를 취업 희망자수로 나누어 구하는데 인력수급동향을 파악하는데 주로 이용된다. 예를 들어 구인배율 0.7은 취업 희망자 열 명당 일곱 개의 일자리가 있다는 의미로 수치가 높을수록 고용사정이 좋다는 것을 의미 한다. 또한 기업활동의 확대와 축소를 반영해주는 지표이기 때문에 경기상황에 따라 경제성장률이나 실업률 등에 비해 더 큰 폭으로 변동하는 것이 일반적이다. 우리나 라의 경우 1986년부터 작성하여 왔다. 외환위기 이전에는 구인배율이 1을 웃돌아 일자리 가 남는 경우도 있었지만, 그 이후에는 대개의 경우 구인배율이 1에 못 미치는 것이 일반적이어서 최근의 고용사정이 과거에 비해 좋지 않다는 것으로 해석된다. 구인배율은 한국고용정보원 워크넷 상의 해당 월 신규 구직자수를 해당 월 신규 구인건수로 나누어 구한다.","고용률, 실업률갭"
구제금융,"어떤 기업이 도산할 경우 국민경제에 미칠 부정적 영향을 우려하여 금융기관은 해당 기업에 도산방지를 위하여 정책적으로 자금을 지원해 주는데 이를 구제금융(relief loan) 이라 부른다. 구제금융은 신규 자금융자이외에 기 대출금의 상환 시기 조정 등을 통해서 이루어질 수도 있다. 이를 통해 도산위기 기업에 회생기회를 부여하게 된다. 구제금융 이후 기업이 정상화되지 못하고, 구제금융자금 회수가 어려워지면 대출금융기관 역시 자금난을 겪고 부실해질 수 있다. 금융기관 및 기업이 총체적으로 부실해져 국가적 위기가 닥칠 경우 국제통화기금(IMF)에 구제요청을 하게 되는데 이를 ‘IMF 구제금융’이 라 부른다. IMF 구제금융은 일반적으로 조건이 까다롭고 국가적 구조조정 및 개혁이 전제되어야 한다.",
구조적 이익률,"은행의 장기적인 생존 가능성은 충분한 이익을 창출할 수 있는 능력에 달려 있으며 은행의 이익은 금리, 대출규모, 고정이하여신비율 등의 변동에 따라 민감하게 움직인다. 이러한 은행이익은 구조적 이익과 비구조적 이익으로 구분된다. 구조적 이익은 안정적이고 경상적인 성격을 갖는 것으로 이자이익, 수수료이익, 신탁이익 합계에서 운영경비를 차감한 금액을 말한다. 구조적 이익률은 구조적 이익을 실질총자산(평잔기준)으로 나눈 비율로 은행의 지속가능한 이익창출능력을 나타내는 지표이다.",순이자마진(NIM)
국가경쟁력지수,"국가경쟁력은 국제경쟁력으로 불리기도 하는데 흔히 한 나라가 사업하기 좋은 환경을 조성해 국민경제의 성장 및 국민들의 삶의 질 향상을 이끌어내는 능력을 말한다. 국가경 쟁력지수는 국가경쟁력을 주요 구성요소별로 평가, 합산해 지수화한 것으로 관점에 따라 상이할 수 있는데, 현재 널리 알려진 것으로는 세계경제포럼(WEF)과 국제경영개발 원(IMD)에서 편제하고 있는 두 가지가 있다. 세계경제포럼은 하버드경영대학원의 도움 을 얻어 주요 국제기구와 산업계 인사들에 대한 여론조사 결과 등을 토대로 매년 세계 각국의 국제경쟁력지수를 발표하고 있다. 동 지수는 성장경쟁력과 미시경쟁력으로 구성 되어 있으며 성장경쟁력은 기술수준, 공공기관, 거시경제환경 등 3개부문 8개항목으로, 미시경쟁력은 기업 전략 및 운영, 비즈니스환경의 질적 수준 등 2개 부문으로 구성되어 있다. 한편, 세계경제포럼 부설 국제경영개발원도 세계 70여개 국가의 경쟁력을 주요 통계지표와 기업인 및 연구원 대상 설문조사 결과를 근거로 평가해 국제경쟁력지수를 발표한다. 동 지수는 사회간접자본, 정부의 효율성, 경제운용성과, 기업의 경영효율성 등 4개 부문으로 구성되어 있다.",세계경제포럼(다보스포럼)
국가신용등급,"국제신용평가사가 한 국가의 정부 채무 이행 능력과 의사 수준을 평가, 표시한 등급으 로 국제금융시장에서 차입금리나 투자여건을 판단하는 기준이 된다. 미국의 S&P, Moody's, 영국의 Fitch 등 유명 국제신용평가기관은 해당국의 정치체제의 안정성, 국가안 보상의 위험 등 정치적인 요소와 경제성장률, 외채규모, 대외 채무불이행 경험 등 경제적 인 요소를 종합적으로 고려하여 국가신용등급을 평가한다. 국가신용등급(sovereign credit rating)은 정부채무의 표시통화에 따라 외화표시 채무등급과 국내통화표시 채무등급으로, 만기구성에 따라 단기채무등급과 장기채무등급으로 각각 구분된다. 또한, 신용 도에 따라 크게 투자등급과 투기등급으로 구분되는데 투기등급에 해당하는 신용도를 가진 국가에 대한 투자는 그만큼 위험하다고 할 수 있다. 한편 국가신용등급은 해당국 내의 기업이나 금융기관의 개별 신용등급을 결정하는 하나의 기준이 된다. 따라서 국가 신용등급이 상향조정되면 해당국의 정부는 물론 기업, 금융기관 등이 더 낮은 가산금리 (위험 프리미엄)로 외화자금을 조달할 수 있어 외화차입 비용을 크게 줄일 수 있다.","무디스, 스탠더드 & 푸어스"
국가채무,"국가채무란 정부가 재정적자 보전 등을 목적으로 국내외로부터 자금을 차입함으로써 발생하는 채무를 말한다. 국제통화기금(IMF)과 경제협력개발기구(OECD)는 국가채무 의 주체와 채무의 구체적 범위를 정하고 있으나 국가별로는 차이가 있다. 주요 선진국은 중앙정부와 지방정부를 포함하는 일반정부의 국가채무를 파악하고 있다. OECD는 유럽 연합(EU)의 마스트리히트 조약 기준 총공공채무도 작성토록하고 있다. 우리나라는 국 가재정법 제91조에서 중앙정부의 국채, 차입금 및 국고채무 부담행위를 국가채무로 규정하고 있으며 한국은행으로부터의 차입금 등은 포함하지 않는다. 일부 국가는 채무에 서 채권을 차감한 순채무를 국가채무의 기준으로 삼기도 한다. 국가채무는 제2차 세계대 전 이후 각국의 재정지출이 급격하고도 지속적으로 확대되면서 주목을 받기 시작하였다. 국가채무는 한 번 누적되면 새로운 재정적자가 발생하지 않더라도 기존채무에 대한 이자지급 부담으로 채무가 계속 늘어나는 자기증식의 속성을 가지고 있다. 또한 기대인 플레이션이나 시장금리를 상승시키는 부작용이 있을 수 있다. 이에 따라 각국은 안정적 인 자금조달 및 국채시장 유지, 자금조달의 비용최소화 등 재정의 지속가능성 유지를 위해 국가채무를 적절히 분석 관리하고 있다. 국가채무를 분석할 경우에는 주로 명목 GDP대비 비율을 사용하며 채무의 보유주체, 만기구조 등 채무의 질적 구성을 고려하기도 한다.","국채, 기대인플레이션"
국고금 실시간 전자이체,국고금 실시간 전자이체란 정부가 지급할 국고금이 실시간으로 각 채권자의 예금계좌 로 바로 입금되게 하는 것을 말한다. 동 전자이체 제도는 정부의 국가재정정보시스템 (NAFIS)과 한국은행 및 금융기관의 전산시스템을 연결해 2003년 1월부터 시행되었다. 이렇게 됨으로써 일반 국민이나 기업들은 정부에 물품이나 용역을 제공한 후 그 대금으로 국고수표를 받는 대신 자신이 거래하는 금융기관의 계좌로 받기 때문에 예전처럼 정부 또는 지자체를 찾아가 국고수표를 받아 이를 금융기관에 다시 입금하는 수고를 덜게 되었다. 특히 이 시스템이 도입되면서 정부는 별도로 국고수표를 발행할 필요성이 없어 국고금 관리 행정업무의 효율화는 물론 국고수표 인쇄비용도 절감할 수 있게 되었다.,"국고수표, 국고전산망"
국고대리점,"국가의 경제활동도 민간의 경제활동과 마찬가지로 금전 수수를 수반하게 되는데 이와 같은 경제활동에 수반되는 일체의 현금을 통상 국고금이라 한다. 우리나라에서는 국고금의 출납사무를 중앙은행인 한국은행이 담당하고 있다. 그러나 한국은행의 한정된 조직과 인력만으로는 전국의 국고금 납부자에게 충분한 편의를 제공하기 어렵기 때문에 인력과 시설이 확보된 점포를 대상으로 한국은행과 대리점 계약을 체결한 후 국고업무를 취급할 수 있도록 하게 하는데 이 같은 대리점계약을 체결한 금융기관 점포를 국고대리점 이라고 한다. 국고대리점은 2003년 국고금 실시간 전자이체 제도의 시행으로 국고금 지급 업무를 한국은행이 전담 수행하게 됨에 따라 국고금 수납 업무만 수행하게 되었다. 국고대리점은 국고수납대리점과 국고금수납점으로 구분하는데 기능상 차이는 없으며 기관의 성격 즉 은행은 단일 법인체인 반면 비은행은 법인의 집합체인 점에 의한 계약방 식의 차이에 의해서 구분된다. 국고수납대리점은 은행 영업점 및 신용협동기구의 중앙회 가 이에 해당되며 국고금수납점은 신용협동기구의 중앙회 등이 당행과 국고수납대리점 추가계약 을 체결한 후 산하 회원조합(금고)에 국고금 수납사무를 재위탁한 점포를 말한다. 2022년 8월말 현재 국고대리점은 총 16,559개(국고수납대리점 5,967개, 국고금 수납점 10,592개)가 있다.",
국고수표,국고금의 기본지급수단으로서 모든 국고금은 원칙적으로 지출관 또는 출납공무원이 발행하는 국고수표에 의해 지급된다. 국고수표의 종류에는 기명식과 소지인출급식의 2종류가 있는데 국고금지급에 사용된다는 점과 제시기간이 1년이라는 점 외에는 일반적 인 수표와 법적권리 및 의무가 동일하다. 기명식은 특정인이 수취인으로 지정되어 있는 수표이며 소지인출급식은 수취인으로 특정인을 지정하지 않고 소지인에게 금액을 지급 할 뜻을 기재한 수표이다. 기명식의 경우 양도를 하기 위해서는 반드시 배서를 하여야 한다. 그러나 2003년 1월 1일 국고금관리법 의 시행으로 국고금 실시간 전자이체제도 가 실시됨으로써 국고금 지급방식이 종전의 국고수표 사용방식에서 수취인의 예금계좌 로 바로 입금되게 변경되었으므로 현재는 사용하지 않고 있다. 다만 금융기관의 전산장 애 등과 같은 비상시를 위해 폐지하지 않고 있다.,"국고금 실시간 전자이체, 국고전산망"
국고전산망,"2003년 1월 한국은행이 국고업무를 전자적으로 처리하기 위하여 구축한 전산망을 국고전산망이라고 말하며 정부(디지털예산 회계시스템(dBrain)), 한국은행, 금융기관 (우정사업본부 포함) 및 금융결제원의 전산시스템을 서버접속 방식으로 연결한다. 국고 전산망을 이용하여 취급하는 업무는 OLTP(On-line Real Time Transaction Processing) 방식으로 처리하는 실시간 전자이체업무와 FTP(File Transfer Protocol) 방식으로 처리하 는 파일 송수신업무가 있다. 국고전산망 참가대상 기관은 기획재정부, 한국은행과 국고 수납대리점계약을 체결한 금융기관 및 한국은행 이외의 국고금수납기관(체신관서, 금융 결제원)으로 한정하고 있다. 국고전산망 운영시간은 오전 9시부터 오후 4시까지이다.",국고금 실시간 전자이체
국내공급물가지수,"국내공급물가지수는 생산자물가지수의 국내출하품 뿐만 아니라 수출입물가지수의 수입품을 모두 포함하여 가공정도에 따라 원재료, 중간재 및 최종재로 구분하여 지수를 편제함으로써 물가 파급과정을 단계별로 파악할 수 있도록 한 지수로 기존에 작성했던 가공단계별물가지수(stage-of-processing index)를 서비스 부문까지 확장한 것이다. 생 산자물가지수는 기업 간의 중간거래액을 포함한 국내출하액을 모집단으로 채택하여 조사대상 품목을 선정하고 가중치를 결정하기 때문에 원재료, 중간재 및 최종재에 해당되 는 모든 품목이 포함되어 있다. 그러나 국내공급물가지수는 이러한 조사 대상품목을 각각의 가공단계에 따라 분리하여 원재료지수, 중간재지수 및 최종재지수로 나누어 작성한다. 따라서 생산자물가지수에서는 원재료, 중간재, 최종재가 구분 없이 혼재되어 있는 반면, 국내공급물가지수에서는 가공단계별로 가격변동이 중복 계산될 여지가 줄어 든다. 특히 소비자물가지수와 포괄범위가 일치하는 최종소비재지수를 이용하여 소비자 물가의 변동요인을 수입품과 국산품으로 구분하여 분석이 가능하고 자본재지수는 기업 의 투자여건 분석에 활용 가능하다.","생산자물가지수(PPI), 수출입물가지수"
국내신용,"예금취급기관이 중앙정부, 지방정부 및 사회보장기구, 기업, 가계, 기타금융기관 등 여러 부문을 통해 공급한 통화를 국내신용(DC; Domestic Claims 또는 Domestic Credit) 이라고 한다. 국내신용은 부문별로 대출금, 유가증권, 주식 및 기타지분 등 각각의 세부항 목을 보여주므로, 각 부문을 통해 어떠한 형태로 통화가 공급되었는지 파악할 수 있다. 이처럼 통화공급경로를 주체별로 나누는 것은 통화량이 통화신용정책 이외에도 재정수 지 등 다양한 요인에 따라 크게 영향을 받기 때문에 통화정책 운용시에 이와 같은 통화 등의 각 부문별 신용공급을 고려하기 위함이다. 중앙정부부문을 통한 통화공급은 정부의 재정활동의 결과인 재정수지에 따라 그 규모가 결정된다. 민간부문을 통한 통화 공급은 민간신용이라고 하는데, 이는 금융기관이 기업과 가계에 대하여 대출을 해주거나 기업이 발행한 유가증권을 금융기관이 매입하는 등의 형태로 이루어진다. 우리나라가 물가안정목표제를 도입한 1998년 이전에는 한국은행 통화신용정책 수행에 있어 최종목 표와 중간목표가 있었다. 최종목표는 물가안정, 경제성장 등을 의미하며, 중간목표는 이러한 최종목표를 달성하기 위해 중앙은행이 영향을 미칠 수 있는 경제변수, 즉 통화량 또는 금리 등을 말한다. 국내신용은 1970년부터 1977년까지 통화신용정책의 중간목표로 활용되었다.",
국내총생산(GDP),"국내총생산(GDP; Gross Domestic Product)은 한 나라의 영역 내에서 가계, 기업, 정부 등 모든 경제 주체가 일정 기간 동안 생산활동에 참여하여 창출한 부가가치 또는 최종 생산물을 시장가격으로 평가한 합계로서 여기에는 국내에 거주하는 비거주자(외국 인)에게 지급되는 소득도 포함된다. 한편 가격의 적용방법에 따라 명목GDP(Nominal GDP)와 실질GDP(Real GDP)로 구분되며, 명목GDP는 국가경제의 규모나 구조 등을 파악하는 데 사용되며 실질GDP는 경제성장, 경기변동 등 전반적인 경제활동의 흐름을 분석하는 데 이용된다.",국민총소득(GNI)
국내총투자율,"국내 총투자율(gross domestic investment ratio)은 국민경제가 구매한 재화 중에서 자산의 증가로 나타난 부분이 국민총처분가능소득에서 차지하는 비율을 의미한다. 국민 경제 내에서 자산의 증가에 쓰인 모든 재화는 고정자산과 재고자산으로 구분되는데 전자를 국내 총고정자본형성 또는 고정투자, 후자를 재고증감 또는 재고투자라 하며 이들의 합계를 총자본형성 또는 국내 총투자라고 부른다. 따라서 국내 총투자율은 국민 총처분가능소득에 대한 총자본형성의 비율이다.",국민처분가능소득
국민계정체계(SNA),"국민계정은 국민경제의 순환과 변동을 체계적으로 기록한 사회회계로서 경제활동을 거래형태별 및 거래에 참가하는 경제주체별로 파악하여 복식부기 방식으로 기록한 것이 다. 즉, 국민경제의 순환에 따른 변동을 각각의 거래형태와 거래주체 간의 상호연관 하에서 체계적으로 작성한 것이다. 국민계정체계(SNA; a System of National Account)는 기존의 산업연관표, 국민소득통계, 자금순환표, 국제수지표 등 별개로 파악하고 있던 국민계정관련 통계를 통합, 각종 경제분석에 적합하도록 거래형태 및 거래주체를 경제활 동의 동질성에 따라 몇 가지 부문으로 나누어 체계적으로 작성한 것이다. 즉 국민계정체계는 국민경제의 순환에 따른 변동을 실물거래와 금융거래의 활동 측면에서 파악하여 국민경제의 변동에 의한 재화와 용역의 공급과 처분내용은 생산계정에, 소득의 분배와 처분내용은 소득계정에, 자본의 조달과 축적내용은 자본조달과 축적계정에 그리고 외국 과의 거래내용은 국외거래계정에 각각 기록하여 작성된다.","산업연관표(I/O Tables), 국민대차대조표"
국민대차대조표,"국민대차대조표(national balance sheet)는 특정 시점에서 국민경제 또는 비금융법인 기업, 금융법인기업, 일반정부, 가계 및 비영리단체, 국외 등 각 경제주체가 보유하고 있는 유 무형 실물자산 및 금융자산/부채의 가액과, 자산에서 부채를 차감한 순자산을 기록한 스톡통계이다. 즉, 국민대차대조표는 경제주체별로 처분가능한 금융 및 비금융자 산의 가액 등 재산상태를 나타내며 그중 순자산(net wealth)은 해당 경제주체의 재산상태 를 집약한 정보라 할 수 있다. 특히 국민경제 전체의 순자산은 흔히 국부(national wealth) 라 불리우며 국내경제가 보유한 비금융자산의 현재가액과 국외부문에 대한 순금융자산 청구권의 합계와 동일하다. 국민대차대조표에 기록되는 자산 항목은 크게 비금융자산과 금융자산/금융부채로 구성된다. 비금융자산의 경우 생산과정을 통해 산출된 것이냐의 여부에 따라 생산자산과 비생산자산으로 나누어지고, 비금융비생산자산에는 생산과정 을 거치지 않고 자연적으로 존재하는 토지, 지하자원, 입목 등이 포함된다. 한편, 국민대 차대조표는 기초대차대조표, 기말대차대조표 및 대차대조표 증감계정으로 구성되어 있어 각 경제주체의 재산이 기간 중에 어떠한 요인에 의해 변동하였는지를 몇 가지로 분해하여 보여주는 표로서 SNA 내에서 소득창출 과정 등을 기록한 플로계정과 자산의 축적상태를 기록한 스톡계정을 통합하는 기능을 수행한다. 2014년에 국민대차대조표를 신규 편제함으로써 우리나라는 SNA(A System of National Accounts) 이행의 최상위인 6단계를 달성하게 되었고 완전한 국민계정체계를 구현하게 되었다.","국민계정체계(SNA), 공급사용표(SUT)"
국민부담률,"국민부담률(total tax revenue as percentage of GDP)이란 조세와 사회보장기여금이 명목 국내총생산(GDP)에서 차지하는 비중(조세부담률+사회보장부담률)을 말한다. 이 는 조세를 명목GDP로 나눈 조세부담률과 국민이 부담하는 사회보장기여금을 명목GDP 로 나눈 사회보장부담률을 합친 개념이다. 따라서 조세부담률보다 포괄적으로 국민부담 수준을 측정하는 지표이다. 조세부담률이 국민의 조세부담을 나타내는 대표적 지표이기 는 하나 국민들이 강제적으로 납부해야 하는 연금 및 사회보험의 부담은 나타내지 못한다는 한계가 있다. 이러한 점을 감안하여 OECD는 미래에 보장급부를 받을 수 있는 권한을 부여하는 모든 강제적인 납부액 즉, 사회보장기여금(social security contributions)을 일종의 조세로 분류하여 국민부담률을 산출하고 있다. 국민들은 강제성 이라는 특성 때문에 국민연금 건강보험 고용보험 등의 사회보장기여금을 세금과 비슷하 게 인식하는 경향이 강하므로 국민부담률이 실제 국민들이 체감하는 부담 수준을 더 정확히 나타낸다고 볼 수 있다.",조세부담률
국민소득,"국민소득(NI; National Income) 이란 넓은 의미로 볼 때 한 나라 안에 있는 가계, 기업, 정부 등의 모든 경제주체가 일정 기간에 생산한 재화와 용역의 가치를 화폐단위로 평가하여 합산한 것으로 흔히 국민총소득으로 불리고 있다. 좁은 의미의 국민소득은 요소비용에 의한 국민소득으로 한 나라 국민이 제공한 생산요소에서 발생한 소득의 총액, 즉 노동에 대한 대가인 피용자보수와 자본 및 경영에 대한 대가인 영업잉여의 합계로서 고정자본소모와 순생산 및 수입세는 포함되지 않는다. ",국민총소득(GNI)
국민소득 3면 등가의 법칙,"국민소득이란 한 국가에 있는 가계, 기업, 정부 등 모든 경제주체가 일정 기간(보통 1년)에 새로이 생산한 재화 및 서비스의 가치를 금액으로 평가하여 더한 총합을 의미한 다. 즉, 한 국가의 국민 전체가 일정 기간에 새로 벌어들인 소득의 총합이라고 할 수 있다. 국가 경제에서 발생하는 소득의 원천은 근본적으로 기업의 생산에 있으며, 기업의 생산은 가계의 소비가 있기 때문에 가능하다. 기업은 생산한 재화와 서비스를 가계에 판매하여 소득을 획득하며 가계는 기업에 생산요소를 제공하고 소득을 얻는다. 국민소득 이 가계와 기업 사이를 순환하게 되는 것인데 이와 같은 국민소득의 순환과정 중에서 어느 순간을 측정하는가에 따라 국민소득을 부르는 명칭이 약간씩 다르다. 한 국가 내에서 생산된 총생산물의 가치를 측정하면 이를 생산국민소득이라 한다. 가계의 총지출 가치를 측정하면 지출국민소득이라 하며 한 국가 내 전체 구성원의 총소득의 가치를 측정하면 분배국민소득이라 한다. 개념상 이 3가지 국민소득은 순환하고 있는 국민소득 을 단지 서로 다른 순간에 측정한 것에 불과하므로 그 크기는 어디서 측정하더라도 항상 동일하다. 즉 생산국민소득 = 지출국민소득 = 분배국민소득의 관계가 성립한다. 이처럼 국민소득이 생산, 지출, 분배의 3가지 관점 중 어느 부문에서 측정하더라도 항상 동일해야 한다는 사실을 국민소득 3면 등가의 법칙이라고 한다.",
국민처분가능소득,"국민처분가능소득(NDI; National Disposable Income)은 국민경제 전체가 소비나 저 축으로 자유로이 처분할 수 있는 소득의 규모를 나타내는 것으로 국민계정의 중요한 총량지표 중 하나이다. 국민처분가능소득은 명목 시장가격으로 평가된 국민순소득에 교포 송금 등과 같이 생산활동과는 관계없이 국외로부터의 소득(국외수취 경상이전)을 더하고 클레임 등 국외에 지급한 소득(국외지급 경상이전)을 차감한, 즉 국외순수취경상 이전을 더하여 산출한다. 이를 지출 면에서 보면 최종소비지출과 저축으로 나누어진다. 한편, 이와 유사한 개념으로 국민계정에서 중요시되고 있는 국민총처분가능소득(GNDI) 은 국민처분가능소득에 고정자본소모를 더한 것으로 총저축률과 총투자율을 작성하는 데 이용되고 있다.",국민소득
국민총소득(GNI),"국민총소득(GNI; Gross National Income)은 한 나라의 국민이 생산활동에 참여한 대가로 받은 소득의 합계로서 외국으로부터 국민(거주자)이 받은 소득(국외수취 요소소 득)은 포함되고 국내총생산 중에서 외국인에게 지급한 소득(국외지급 요소소득)은 제외 된다. 한편, 국내총생산은 국내에 거주하는 모든 생산자가 생산한 부가가치를 합산한 것이므로 국외거래에 의하여 발생하는 생산은 고려하지 않아 양자는 국외순수취요소소 득 만큼의 차이가 발생하게 된다. 즉, 국민총소득은 국내총생산에서 국외순수취요소소득 을 더하여 산출할 수 있다.",국내총생산(GDP)
국부펀드,"국부펀드(sovereign fund)는 주로 투자수익을 목적으로 다양한 종류의 국내외 자산에 투자 운용하는 국가보유투자기금을 말한다. 국부펀드는 운용목적이나 투자자산 선택 등에서 사모펀드, 연기금 등과 유사한 면이 있으나 소유권이 민간이 아니라 국가에 있다는 점에서 근본적인 차이가 있다. 국부펀드의 종류는 재원을 조달하는 방법에 따라 상품펀드와 비 상품펀드로 나누어진다. 상품펀드의 재원은 국가기관의 원자재 수출대금 또는 민간기업의 원자재 수출소득에 대한 세금 등 정부의 외화수입으로 조달되며 비 상품펀드의 경우는 국제수지 흑자로 축적된 외환보유액, 공적연기금, 재정잉여금 등으로 조달된다. 국부펀드라는 용어가 널리 사용되기 시작한 것은 2005년경이나, 1953년 쿠웨 이트투자청 등이 있었으며 대부분의 국부펀드는 1970년대 이후에 만들어 졌다. 2000년 대 이후 국부펀드는 아시아와 중동을 비롯한 신흥시장국가들이 주로 조성하여 왔다. 이들은 석유수출과 경상수지 흑자를 통해 벌어들인 외환보유액을 이용하여 국부펀드를 설립하여 운용하고 있다. 우리나라는 2005년 7월 한국투자공사(KIC; Korea Investment Corporation)를 설립하였다. 이후에도 2007년 중국에서 중국투자공사(CIC; China Investment Corporation), 2008년에는 러시아에서 러시아 National Welfare Fund 등이 설립되었다.","외환보유액, 헤지펀드"
국외순수취경상이전,"국외순수취경상이전은 거주자와 비거주자 간에 반대급부 없이 일어나는 이전거래로 국외수취경상이전에서 국외지급경상이전을 차감하여 구하며 거래주체에 따라 민간이전 과 공공이전으로 구분할 수 있다. 따라서 국외수취 경상이전은 민간이전수입과 공공이전 수입으로 나눌 수 있는데 민간 이전수입은 국외근로자 및 교포 등의 국내송금 등이 포함되며 공공 이전수입에는 조세 및 공과, 군사 및 기술원조금 등이 포함된다. 또한, 국외지급경상이전 역시 민간이전지급과 공공이전지급으로 나눌 수 있으며 자세한 거래 는 민간이전수입과 공공이전수입의 반대이다.","국내총생산(GDP), 국민총소득(GNI)"
국외순수취요소소득,"국외순수취요소소득은 한 나라의 국민이 국외에서 노동, 자본 등의 생산요소를 제공한 대가로 받은 국외수취요소소득에서 국내의 외국인이 생산활동에 참여함으로써 발생한 국외지급요소소득을 차감한 것으로 국외순수취 기업 및 재산소득과 피용자보수를 더하 여 구한다. 즉, 국외순수취요소소득은 국내에서의 모든 경제주체가 생산활동에 참여한 결과 발생한 국내총생산과 한 나라의 국민이 생산활동에 참여한 결과인 국민총소득의 차이를 의미한다.","국내총생산(GDP), 국민총소득(GNI)"
국외저축,개별 경제주체가 모자라는 돈을 다른 사람으로부터 조달하는 것과 마찬가지로 국민경 제에서도 투자가 저축을 초과하게 되면 부족한 돈을 국외로부터 조달하게 되는데 이를 국외저축(foreign savings)이라고 한다. 국외저축은 경상수지적자와 일치하며 경상수지 적자는 순국외채무(국외채무-국외 채권)의 증가로 보전된다.,"저축률/총저축/평균소비성향/평균저축성향, 투자율"
국제결제은행(BIS),"BIS(BIS; Bank for International Settlements)는 1930년 헤이그협정을 모체로 설립된 세계에서 가장 오래된 국제금융기구로서 중앙은행 간 정책협력을 주요기능으로 하고 있으며 현재 60개 중앙은행이 회원은행으로 참여하고 있다. BIS는 중앙은행 간 협력체로 서의 기능 수행에 중점을 두고 있으나 국제금융거래의 원활화를 위한 편의 제공, 국제결 제업무와 관련한 수탁자 및 대리인으로서의 역할도 수행하고 있다. BIS는 최고의사결정 기관인 총회, 운영을 담당하는 이사회, 일반업무를 관장하는 집행부로 구성되어 있으며 중앙은행 간 정보교환기능 제고를 위해 총재회의, 특별회의, 각종 산하 위원회 회의 등을 수시로 개최하고 있다. 또한, 아시아지역과 아메리카지역 중앙은행과의 관계를 증진하기 위하여 홍콩 및 멕시코시티에 지역사무소를 개설하였다. 한국은행은 1975년 연차총회에 옵서버 자격으로 참석한 이래 국제통화협력을 위해 노력한 결과 1997년 1월 14일 정식회원으로 가입하였다.",
국제금융시장,"국제금융시장이란 국경을 넘어 자금의 수요와 공급을 연결해 주는 시장 또는 모든 거래 메커니즘을 말하며 두 가지 의미로 사용된다. 첫째, 구체적인 장소의 개념으로 런던, 뉴욕, 도쿄 등 주요 국제금융의 중심지나 그 지역에서 운용되는 증권거래소 또는 선물옵션거래소 등을 말하며 둘째, 추상적 개념으로 국제자금의 수요와 공급을 연결해 주는 모든 거래의 형태를 말한다. 외환시장(foreign exchange market), 단기 금융시장 (money market), 중장기 금융시장(capital market), 주식시장(equity market) 및 파생금 융상품시장(financial derivatives market) 등을 포괄한다.",국제금융중심지
국제금융중심지,"특정 국가나 지역이 국제금융시장으로 기능하기 위해서는 자국 통화의 국제통용성, 상대적으로 우월한 기초경제력, 고도로 발달된 금융시장과 다양한 장단기 금융수단의 자유로운 거래, 전 세계시장 정보의 신속 저렴한 공급, 세계적인 상품 및 서비스거래의 중심지 등의 요건을 두루 갖추어야 한다. 국제금융중심지는 이러한 국제금융시장의 요건을 갖추고 있어 세계적 금융기관들이 본점, 지점, 현지법인의 형태로 영업망을 집중시킴으로써 대량의 국제금융거래가 지속적, 반복적으로 이루어지는 장소를 말한다. 대표적인 국제금융중심지로는 뉴욕, 런던, 동경 등이 있다. 한편, 역외 국제금융중심지는 주로 비거주자로부터 자금을 조달하여 비거주자를 대상으로 운영되는 금융중개시장으 로, 조세 및 금융규제 면에서 특혜를 부여하여 인위적으로 창설한 금융 중심지이며 홍콩, 싱가포르, 룩셈부르크 등이 대표적이다.",국제금융시장
국제산업연관표,"국제산업연관표(International Input-Output Tables)란 국가 간 수출입을 매개로 여러 나라의 산업연관표를 연결하여 하나의 산업연관표로 작성한 것이다. 국제산업연관표에 서는 한 나라 산업의 생산기술구조 및 배분구조를 국내 산업간 상호 연관관계뿐만 아니라 다른 나라 산업과의 연관관계까지 나타내고 있으므로 생산기술의 국제비교 및 국가 간 상호의존관계 분석 등에 널리 이용된다. 한국은행에서는 일본 아시아경제연구소 (IDE; Institute of Developing Economies)와 공동으로 한국, 일본, 중국, 미국 등 아시아 태평양권 10개국 산업연관표를 연결한 아시아 국제산업연관표를 작성하고 있다.",산업연관표(I/O Tables)
